Client,Sale_CL,Predicted_Probability_Sale_CL,Predicted_Sale_CL,Revenue_CL,Sale_CC,Predicted_Probability_Sale_CC,Predicted_Sale_CC,Revenue_CC,Sale_MF,Predicted_Probability_Sale_MF,Predicted_Sale_MF,Revenue_MF,ExpectedRev_MF,ExpectedRev_CC,ExpectedRev_CL,Score,Top_Offer
1335,0,0.29124909,0,0,1,0.600878691,1,407.9625,0,0.458517251,0,0,0,147.2969825,0,147.2969825,CC
966,0,0.194258393,0,0,1,0.662777404,1,203.7907143,0,0.311238204,0,0,0,89.51993919,0,89.51993919,CC
448,1,1,1,22.42464286,1,0.555310009,1,213.2928571,1,0.513133764,1,1.710892857,0.4504888,65.77294908,22.42464286,65.77294908,CC
27,0,0.669980019,1,0,0,0.553518718,1,0,1,0.504463766,1,220.4882143,56.11065464,0,0,56.11065464,MF
1293,1,0.118682217,0,11.54607143,1,0.731020976,1,89.76107143,0,0.358574491,0,0,0,47.96756857,0.162631828,47.96756857,CC
617,0,0.096670848,0,0,1,0.655082238,1,110.47,0,0.322126,0,0,0,47.40629365,0,47.40629365,CC
374,0,0.173810601,0,0,1,0.573739174,1,76.85928571,0,0.506931822,1,0,0,25.30028139,0,25.30028139,CC
479,0,0.101371892,0,0,1,0.471315218,0,102.1464286,0,0.414824885,0,0,0,22.69060692,0,22.69060692,CC
614,1,0.305680271,0,4.248214286,1,0.526485908,1,3.751071429,1,0.495116615,0,83.03803571,20.35598245,1.03974978,0.396954961,20.35598245,MF
310,0,0.481556301,0,0,0,0.20968301,0,0,1,0.599330924,1,56.13982143,20.16528669,0,0,20.16528669,MF
942,0,0.035650911,0,0,1,0.720183134,1,36.78571429,0,0.464239991,0,0,0,19.07941637,0,19.07941637,CC
475,0,0.052904123,0,0,1,0.648203048,1,42.68857143,0,0.431049074,0,0,0,17.93633716,0,17.93633716,CC
43,0,0.098337224,0,0,1,0.580878691,1,1.964285714,1,0.481229372,0,73.04178571,16.91514149,0.662789391,0,16.91514149,MF
