Client,Sex,Age,Tenure
1,F,51,7
2,M,43,152
3,M,17,140
4,M,24,153
5,F,58,200
6,F,24,19
7,F,55,227
8,F,64,30
9,F,33,182
10,F,29,48
11,M,30,40
12,M,45,155
13,F,66,132
14,F,38,95
15,M,26,174
16,M,46,149
17,F,64,150
18,M,25,41
19,F,46,94
20,M,27,181
21,F,24,60
22,M,54,0
23,M,4,160
24,F,29,23
25,F,97,181
26,F,27,24
27,M,62,181
28,F,18,28
29,F,60,150
30,M,54,2
31,F,59,97
32,M,29,15
33,M,71,150
34,F,48,104
35,M,66,31
36,F,49,263
37,F,30,172
38,F,27,12
39,M,78,51
40,M,27,33
41,M,20,198
42,M,23,4
43,F,65,83
44,F,35,51
45,M,63,52
46,M,45,95
47,M,45,229
48,M,64,92
49,F,46,19
50,F,33,109
51,F,67,85
52,F,43,53
53,M,64,125
54,M,38,149
55,F,51,137
56,M,54,105
57,M,28,157
58,F,45,49
59,F,32,149
60,F,20,28
61,F,14,159
62,M,51,113
63,M,37,29
64,F,61,38
65,F,67,180
66,M,62,91
67,F,14,20
68,M,54,20
69,M,41,17
70,M,38,152
71,F,43,15
72,M,47,129
73,M,87,163
74,M,63,20
75,M,59,57
76,F,66,178
77,M,71,2
78,F,24,142
79,F,41,75
80,M,9,81
81,M,86,19
82,F,20,151
83,F,43,111
84,M,66,235
85,F,25,60
86,M,36,31
87,M,45,58
88,M,21,33
89,F,40,118
90,F,20,81
91,M,35,61
92,M,59,149
93,F,31,8
94,M,22,189
95,M,35,151
96,M,30,151
97,F,71,135
98,M,51,150
99,F,68,150
100,F,39,86
101,M,63,139
102,M,20,172
103,F,80,199
104,M,10,65
105,M,49,150
106,F,48,88
107,F,26,181
108,F,39,82
109,M,64,151
110,M,55,76
111,F,34,94
112,F,73,31
113,F,43,150
114,F,26,13
115,F,57,144
116,F,47,239
117,F,43,153
118,F,43,92
119,F,25,152
120,M,32,14
121,F,25,31
122,M,39,80
123,F,22,40
124,M,68,47
125,M,38,175
126,F,33,173
127,F,25,150
128,M,70,6
129,M,42,126
130,F,60,147
131,M,47,92
132,M,50,53
133,M,46,6
134,M,32,128
135,M,24,82
136,M,33,52
137,F,63,168
138,M,47,79
139,F,74,64
140,M,25,125
141,F,20,24
142,F,27,183
143,F,66,18
144,M,67,104
145,M,14,52
146,M,37,89
147,M,25,176
148,M,45,42
149,M,54,18
150,F,27,3
151,M,58,265
152,M,50,64
153,F,67,92
154,M,28,151
155,M,27,97
156,M,54,95
157,M,25,151
158,M,0,152
159,M,33,152
160,F,41,181
161,F,46,103
162,F,51,123
163,F,60,51
164,F,40,151
165,F,42,103
166,M,48,51
167,M,73,92
168,F,26,168
169,M,75,76
170,F,41,151
171,F,22,151
172,F,56,188
173,M,23,150
174,M,22,109
175,F,41,61
176,F,56,188
177,F,22,71
178,M,20,46
179,F,20,109
180,F,56,174
181,M,71,0
182,M,64,187
183,M,32,179
184,F,30,115
185,M,24,95
186,M,40,26
187,M,55,164
188,F,30,53
189,M,16,22
190,M,50,62
191,M,59,150
192,F,61,57
193,F,64,181
194,M,27,2
195,M,65,162
196,M,63,75
197,M,70,58
198,F,54,5
199,F,47,151
200,F,24,129
201,M,68,34
202,F,61,150
203,F,57,181
204,F,41,12
205,M,19,9
206,M,83,205
207,F,41,25
208,F,40,183
209,M,70,16
210,M,55,120
211,F,44,71
212,F,23,68
213,F,47,151
214,M,39,9
215,M,32,94
216,F,61,71
217,M,17,152
218,M,40,26
219,M,70,50
220,F,51,29
221,M,42,186
222,F,70,68
223,M,30,76
224,F,83,175
225,M,14,187
226,F,57,107
227,F,36,151
228,F,38,158
229,M,74,141
230,M,40,271
231,M,27,216
232,M,38,4
233,M,32,85
234,F,54,150
235,F,26,146
236,F,37,168
237,M,40,173
238,M,24,256
239,F,24,150
240,M,43,162
241,F,30,12
242,F,45,146
243,M,20,6
244,M,41,162
245,M,26,183
246,M,62,0
247,F,55,172
248,F,27,127
249,F,25,196
250,F,31,42
251,F,67,8
252,M,45,79
253,M,37,13
254,F,34,55
255,M,73,152
256,F,29,93
257,M,45,38
258,M,73,182
259,M,30,21
260,M,40,153
261,F,18,152
262,F,38,72
263,F,67,10
264,F,48,109
265,F,26,179
266,M,42,34
267,F,73,36
268,M,66,39
269,F,39,61
270,F,31,63
271,M,24,70
272,M,61,103
273,M,40,67
274,M,66,169
275,M,73,2
276,F,68,38
277,F,26,61
278,M,36,56
279,M,22,135
280,M,23,234
281,M,30,140
282,M,50,152
283,M,27,104
284,M,66,23
285,F,76,249
286,F,4,20
287,M,32,104
288,F,32,151
289,F,44,150
290,F,66,24
291,F,72,12
292,M,36,5
293,F,21,76
294,F,54,101
295,M,46,38
296,M,16,36
297,M,73,56
298,M,48,221
299,F,28,137
300,F,5,87
301,M,37,58
302,M,63,27
303,M,32,87
304,F,78,49
305,M,37,140
306,F,52,78
307,M,32,151
308,F,45,135
309,F,62,134
310,F,45,149
311,M,20,181
312,F,71,57
313,M,47,61
314,M,42,150
315,M,24,93
316,F,1,211
317,M,35,53
318,F,17,77
319,M,40,150
320,M,28,114
321,F,44,51
322,F,1,92
323,F,38,63
324,F,35,23
325,M,33,167
326,M,33,129
327,M,73,177
328,F,27,10
329,F,18,149
330,M,34,2
331,F,43,160
332,M,73,37
333,M,33,203
334,F,49,163
335,M,50,138
336,M,69,186
337,F,47,150
338,F,27,152
339,M,16,60
340,F,76,80
341,F,46,171
342,F,26,203
343,M,38,162
344,M,45,54
345,M,56,111
346,M,52,71
347,F,46,80
348,M,27,253
349,M,72,32
350,F,4,218
351,F,42,172
352,M,38,194
353,M,61,150
354,M,43,68
355,M,43,36
356,M,48,33
357,M,5,39
358,F,38,181
359,M,30,12
360,M,46,86
361,M,71,168
362,F,46,99
363,M,33,59
364,M,37,96
365,M,60,192
366,M,21,75
367,F,42,3
368,M,73,11
369,M,59,39
370,M,77,1
371,M,49,70
372,F,39,172
373,M,39,7
374,M,68,32
375,M,64,149
376,M,61,50
377,M,38,167
378,M,75,44
379,M,69,150
380,F,37,176
381,M,81,19
382,M,29,150
383,F,31,3
384,M,23,160
385,F,51,70
386,M,60,11
387,M,36,149
388,F,40,89
389,M,43,158
390,M,50,67
391,M,1,16
392,M,27,80
393,M,60,170
394,M,7,150
395,F,49,150
396,F,26,96
397,M,12,57
398,F,56,30
399,M,59,152
400,F,80,33
401,F,38,37
402,F,29,30
403,F,19,63
404,F,25,63
405,M,26,0
406,F,31,32
407,M,32,12
408,M,35,181
409,M,31,91
410,M,17,27
411,M,74,33
412,F,51,116
413,M,53,15
414,F,33,116
415,M,57,177
416,F,44,95
417,F,33,183
418,M,28,8
419,F,33,82
420,M,47,74
421,M,28,110
422,F,27,160
423,F,52,151
424,F,40,31
425,M,72,150
426,M,42,10
427,M,25,20
428,M,49,102
429,F,59,69
430,M,52,134
